WKT,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,latitude,longitude
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Elateridae,Anchastus,,cinereipennis,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Pontomalota,,opaca,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Scraptiidae,Naucles,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Latridiidae,Corticaria,,tenella,34.4105,-119.8798
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,,fimbriatus,34.4133,-119.8833
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Bledius,,albonotatus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Bledius,,albonotatus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Elassoptes,,marinus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,,fimbriatus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Latridiidae,Corticarina,,cavicollis,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Hypocaccus,,bigemmeus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Malachiusidae,Collops,,cribrosus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Euspilotus,,scissus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Oxypoda,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Diachus,,auratus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Kateretidae,Heterhelus,,sericans,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Trirhabda,,luteocincta,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,,fimbriatus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Notoxus,,lustrellus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Zopheridae,Phloeodes,,diabolicus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Euspilotus,,scissus,34.4105,-119.8798
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Cafius,,canescens,34.4133,-119.8833
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Bledius,,albonotatus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Nephus,,sordidus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Diachus,,auratus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Anobiidae,Ozognathus,,cornutus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Epantius,,obscurus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Bledius,,fenyesi,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Phaleria,,rotundata,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Nephus,,sordidus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Scraptiidae,Naucles,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Cafius,,canescens,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Notoxus,,lustrellus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Bledius,,fenyesi,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Pontomalota,,opaca,34.4105,-119.8798
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,,fimbriatus,34.4133,-119.8833
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Cryptophagidae,Cryptophagus,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Hypocaccus,,lucidulus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Scymnus,,nebulosus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Anobiidae,Ozognathus,,cornutus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Notoxus,,lustrellus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Hypocaccus,,bigemmeus,34.4105,-119.8798
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Nitidulidae,Nitidula,,flavomaculata,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Bledius,,fenyesi,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Bledius,,fenyesi,34.4133,-119.8833
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Cycloneda,,sanguinea,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Scraptiidae,Naucles,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Scymnus,,nebulosus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Dryophthoridae,Sphenophorus,,venatus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Anobiidae,Ozognathus,,cornutus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Kateretidae,Heterhelus,,sericans,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Pyrochroidae,Pedilus,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Diaulota,,fulviventris,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Diaulota,,fulviventris,34.4105,-119.8798
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Anthicus,,maritimus,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Hypocaccus,,gaudens,34.4133,-119.8833
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Anobiidae,Ozognathus,,cornutus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Cyclodinus,,annectens,34.4105,-119.8798
